City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,port shepstone,-30.7414,30.455,17.72,56,1,3.57,ZA,1722866982
269,bardai,11.65,7.2333,26.23,70,100,5.22,NG,1722866983
270,caleta de carquin,-11.0925,-77.6267,17.54,79,41,4.01,PE,1722866984
271,pandan,14.0453,124.1694,27.08,84,100,2.23,PH,1722866836
272,brisas de zicatela,15.8369,-97.0419,25.29,88,75,3.09,MX,1722866986
273,coahuayana de hidalgo,18.7,-103.6583,25.68,83,96,1.3,MX,1722866500
274,fale old settlement,-9.3852,-171.2468,27.86,78,100,4.85,TK,1722866989
275,cabaiguan,22.0789,-79.4992,27.42,82,94,3.37,CU,1722866990
276,griffith,41.5284,-87.4237,23.95,94,100,5.14,US,1722866991
277,port moody,49.283,-122.8526,18.37,76,0,0.17,CA,1722866992
278,amlame,7.4667,0.9,27.02,73,94,2.04,TG,1722866994
279,mokpo,34.7936,126.3886,26.49,89,96,2.79,KR,1722866995
280,beecher,43.09,-83.6944,26.05,79,0,2.06,US,1722866996
281,qarauyl,48.9451,79.255,24.52,35,13,6.8,KZ,1722866632
282,juan griego,11.0817,-63.9655,30.73,62,59,4.36,VE,1722866998
283,shingu,33.7333,135.9833,25.78,93,97,1.36,JP,1722866569
284,ngereklmadel,7.4883,134.4856,27.92,77,94,3.31,PW,1722867000
285,novaya igirma,57.1334,103.9112,16.22,62,5,0.54,RU,1722867001
286,palmer,42.1584,-72.3287,27.65,69,20,0.45,US,1722867002
287,ovalle,-30.5983,-71.2003,13.74,63,2,0.49,CL,1722866953
288,kavieng,-2.5744,150.7967,27.23,78,100,3.74,PG,1722867005
289,cadale,2.7603,46.3222,25.89,72,28,9.72,SO,1722867006
290,alofi,-19.0595,-169.9187,21.94,94,75,3.09,NU,1722866489
291,diego de almagro,-26.3667,-70.05,16.59,40,0,1.46,CL,1722866851
292,kokopo,-4.352,152.2633,24.45,89,6,4.3,PG,1722867009
293,rio cuarto,-33.1307,-64.3499,19.71,36,0,7.2,AR,1722866840
294,keflavik,64.0049,-22.5624,13.24,94,75,3.09,IS,1722867011
295,mendaha,-1.0333,103.5833,25.41,83,9,1.42,ID,1722867012
296,essaouira,31.5125,-9.77,21.67,84,2,7.43,MA,1722867013
297,novo aripuana,-5.1206,-60.3797,33.3,31,9,2.07,BR,1722867015
298,gerash,27.6652,54.1371,38.04,29,91,5.37,IR,1722866898
299,rudnichnyy,59.617,52.4703,18.16,92,92,2.09,RU,1722867017
300,praia da vitoria,38.7333,-27.0667,28.14,69,40,4.17,PT,1722866657
301,kununurra,-15.7667,128.7333,21.99,64,75,0.0,AU,1722866447
302,happy valley-goose bay,53.3168,-60.3315,21.95,45,75,2.69,CA,1722867020
303,prince rupert,54.3161,-130.3201,12.05,100,100,1.03,CA,1722867021
304,gandajika,-6.75,23.95,35.5,11,10,1.21,CD,1722866870
305,nemuro,43.3236,145.575,16.72,100,100,1.85,JP,1722866730
306,lautoka,-17.6167,177.4667,17.92,77,40,2.06,FJ,1722867024
307,cockburn town,21.4612,-71.1419,28.07,82,0,8.29,TC,1722866505
308,tibu,8.639,-72.7358,29.55,64,95,1.19,CO,1722866833
309,bodo,67.28,14.405,22.02,67,0,3.6,NO,1722867027
310,kamiiso,41.8167,140.65,20.36,95,66,1.11,JP,1722867028
311,jayapura,-2.5333,140.7,25.66,93,61,2.5,ID,1722866867
312,wuhai,39.6647,106.8122,28.93,38,88,6.08,CN,1722867030
313,cabo san lucas,22.8909,-109.9124,28.12,79,26,3.58,MX,1722867002
314,qaisumah,28.3112,46.1273,41.98,8,0,7.2,SA,1722867032
315,roxas,11.5853,122.7511,24.52,86,98,2.11,PH,1722867033
316,guanare,9.0418,-69.7421,27.28,74,100,0.52,VE,1722866869
317,nambucca heads,-30.65,153.0,17.0,88,100,1.61,AU,1722867035
318,macas,-2.3167,-78.1167,21.86,88,75,2.06,EC,1722866930
319,port sudan,19.6175,37.2164,35.25,52,65,6.92,SD,1722867038
320,fort mcmurray,56.7268,-111.381,15.3,56,99,1.31,CA,1722867039
321,viedma,-40.8135,-62.9967,13.52,40,100,6.45,AR,1722866443
322,porto velho,-8.7619,-63.9039,31.03,51,0,2.06,BR,1722866644
323,gribanovskiy,51.4579,41.9764,25.43,47,98,2.83,RU,1722866887
324,urengoy,65.9667,78.3667,14.25,55,100,3.78,RU,1722867043
325,revda,56.801,59.9303,15.72,96,100,3.24,RU,1722867044
326,bodaybo,57.8506,114.1933,15.51,93,100,0.64,RU,1722867045
327,emerald,-23.5333,148.1667,14.63,78,0,5.59,AU,1722867046
328,bahia blanca,-38.7196,-62.2724,14.35,34,42,3.03,AR,1722866975
329,dzhambeyty,50.2536,52.595,34.12,17,72,3.32,KZ,1722867048
330,remire-montjoly,4.9167,-52.2667,31.02,62,40,3.6,GF,1722867049
331,erenhot,43.6475,111.9767,27.18,24,1,3.51,CN,1722866767
332,mugia,43.1041,-9.2179,26.76,88,47,3.44,ES,1722867051
333,pocone,-16.2567,-56.6228,34.1,20,0,5.0,BR,1722867052
334,pisco,-13.7,-76.2167,16.12,82,100,1.54,PE,1722867053
335,port saint john's,-31.6229,29.5448,17.51,52,0,3.31,ZA,1722866738
336,richmond,37.5538,-77.4603,26.62,90,100,1.54,US,1722866762
337,gopalpur,19.2667,84.9167,29.25,80,100,3.18,IN,1722867057
338,nuuk,64.1835,-51.7216,11.34,66,75,1.54,GL,1722867058
339,ormara,25.2088,64.6357,28.59,83,99,3.06,PK,1722867059
340,margate,51.3813,1.3862,22.61,68,7,1.34,GB,1722866656
341,ciacova,45.5081,21.1286,31.28,26,100,4.93,RO,1722867061
342,anna regina,7.2644,-58.5077,26.91,84,100,3.38,GY,1722867063
343,bairnsdale,-37.8333,147.6167,5.59,93,18,2.26,AU,1722867064
344,aqsay,51.1678,52.995,32.25,22,100,3.22,KZ,1722867065
345,colares,38.7992,-9.4469,29.63,54,20,11.32,PT,1722867066
346,aripuana,-9.1667,-60.6333,32.74,26,0,2.7,BR,1722867068
347,al artawiyah,26.5053,45.3444,39.91,8,2,9.51,SA,1722867069
348,christchurch,-43.5333,172.6333,2.45,100,100,1.54,NZ,1722866406
349,old saybrook,41.2918,-72.3762,28.03,80,3,1.77,US,1722867071
350,fortuna,40.5982,-124.1573,14.64,98,100,2.06,US,1722867072
351,timimoun,29.2639,0.231,46.69,6,0,2.52,DZ,1722867073
352,ciudad lazaro cardenas,17.9583,-102.2,26.34,87,98,1.62,MX,1722866533
353,pike road,32.2843,-86.103,29.03,43,0,5.91,US,1722866953
354,inongo,-1.95,18.2667,25.15,64,100,1.13,CD,1722866870
355,cotonou,6.3654,2.4183,25.71,76,100,6.33,BJ,1722866883
356,mogocha,53.7333,119.7667,13.18,93,3,0.97,RU,1722867078
357,garachico,28.7781,-17.7646,24.16,61,20,5.14,ES,1722867079
358,kuroishi,40.6389,140.5922,23.64,95,68,0.43,JP,1722867080
359,tuban,-6.8976,112.0649,25.67,75,8,2.77,ID,1722867081
360,nagato,34.3833,131.2,27.89,87,93,3.46,JP,1722867082
361,vadso,70.0744,29.7487,15.49,72,6,6.69,NO,1722866651
362,san pedro pochutla,15.7333,-96.4667,25.95,86,38,1.36,MX,1722866844
